FeatureCount,SVMCost,AUC,Threshold,Accuracy,Specificity,Sensitivity,MCC
2800,0.3,0.7970120410286904,0.26188888862315185,0.7603686635944701,0.7465437788018433,0.7741935483870968,0.520936495779993
2800,1.0,0.8371063305655249,0.2746916327577455,0.7811059907834101,0.7004608294930875,0.8617511520737328,0.5696706782585346
2800,3.0,0.8961010002336002,0.33023753849951404,0.8387096774193549,0.7695852534562212,0.9078341013824884,0.683987326552987
2800,10.0,0.9786468177281318,0.47323105702401114,0.9354838709677419,0.9216589861751152,0.9493087557603687,0.8713008646231741
2800,30.0,0.9978020344454119,0.5383728513830743,0.9838709677419355,0.9769585253456221,0.9907834101382489,0.9678344297618552
2800,100.0,0.9995646541655164,0.1596901345910297,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2750,0.3,0.7963324767992526,0.25732142033739597,0.7442396313364056,0.7004608294930875,0.7880184331797235,0.4903625204604759
2750,1.0,0.8348977468198518,0.2723393853603855,0.771889400921659,0.6682027649769585,0.8755760368663594,0.5558621951942375
2750,3.0,0.9031939518783579,0.3671360725352066,0.8410138248847926,0.7972350230414746,0.8847926267281107,0.684657104039155
2750,10.0,0.9807492195629552,0.47792141130430177,0.9354838709677419,0.9216589861751152,0.9493087557603687,0.8713008646231741
2750,30.0,0.9978445072097517,0.47275668330552906,0.9815668202764977,0.9723502304147466,0.9907834101382489,0.9632973100557258
2750,100.0,0.9995858905476862,0.17631891690153262,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2700,0.3,0.7969058591178407,0.2585221241746416,0.7396313364055299,0.695852534562212,0.783410138248848,0.4811103974329198
2700,1.0,0.8390600777251588,0.2557457776546523,0.7764976958525346,0.6728110599078341,0.880184331797235,0.5652835883331229
2700,3.0,0.9013888593939136,0.36520909583561684,0.847926267281106,0.7926267281105991,0.9032258064516129,0.7001478693050153
2700,10.0,0.981789802289282,0.46346982796775765,0.9400921658986175,0.9262672811059908,0.9539170506912442,0.8805209795927315
2700,30.0,0.9978869799740917,0.48010827765431285,0.9815668202764977,0.9723502304147466,0.9907834101382489,0.9632973100557258
2700,100.0,0.9995858905476862,0.18049834824459035,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2650,0.3,0.796820913589161,0.25808520796864126,0.7396313364055299,0.695852534562212,0.783410138248848,0.4811103974329198
2650,1.0,0.8388901866677991,0.25224803419451797,0.7764976958525346,0.6728110599078341,0.880184331797235,0.5652835883331229
2650,3.0,0.9005181677249463,0.3765878017489818,0.847926267281106,0.7972350230414746,0.8986175115207373,0.6994564689820649
2650,10.0,0.9810040561489944,0.4554586875210567,0.9400921658986175,0.9262672811059908,0.9539170506912442,0.8805209795927315
2650,30.0,0.9976958525345622,0.4809017187550881,0.9815668202764977,0.9723502304147466,0.9907834101382489,0.9632973100557258
2650,100.0,0.9995646541655163,0.17262483004605753,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2600,0.3,0.78756185096307,0.25791377295505286,0.7373271889400922,0.6866359447004609,0.7880184331797235,0.4771126907626006
2600,1.0,0.8308628342075643,0.2568540513481372,0.7764976958525346,0.6774193548387096,0.8755760368663594,0.5641829377674449
2600,3.0,0.8936588162840579,0.3756458148969692,0.8433179723502304,0.783410138248848,0.9032258064516129,0.6916182553167686
2600,10.0,0.9794325638684194,0.4597735206814231,0.9400921658986175,0.9262672811059908,0.9539170506912442,0.8805209795927315
2600,30.0,0.9976109070058825,0.5039994591913236,0.9815668202764977,0.9769585253456221,0.9861751152073732,0.9631745501074697
2600,100.0,0.9995646541655163,0.17225454559719455,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2550,0.3,0.7873919599057104,0.25771033979427566,0.7373271889400922,0.6866359447004609,0.7880184331797235,0.4771126907626006
2550,1.0,0.8305867612393553,0.2579405435048249,0.7764976958525346,0.6774193548387096,0.8755760368663594,0.5641829377674449
2550,3.0,0.8930641975832998,0.3741330779522492,0.8433179723502304,0.783410138248848,0.9032258064516129,0.6916182553167686
2550,10.0,0.9791352545180404,0.4527407205623965,0.9354838709677419,0.9216589861751152,0.9493087557603687,0.8713008646231741
2550,30.0,0.9975684342415425,0.5020277734364116,0.9815668202764977,0.9769585253456221,0.9861751152073732,0.9631745501074697
2550,100.0,0.9995646541655163,0.167698745425937,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2500,0.3,0.799687825182102,0.26847896862886983,0.7557603686635944,0.7695852534562212,0.7419354838709677,0.5117163808104356
2500,1.0,0.844093100299433,0.2608220516828792,0.7972350230414746,0.7235023041474654,0.8709677419354839,0.6010411026157358
2500,3.0,0.891025504894986,0.3813819223971618,0.8410138248847926,0.8018433179723502,0.880184331797235,0.6841302420111159
2500,10.0,0.9780521990273737,0.51268947344018,0.9400921658986175,0.9354838709677419,0.9447004608294931,0.8802217180407976
2500,30.0,0.9978232708275818,0.4620310902307667,0.9815668202764977,0.9723502304147466,0.9907834101382489,0.9632973100557258
2500,100.0,0.9995646541655164,0.1721757006974835,0.9861751152073732,0.9723502304147466,1.0,0.9727221292883055
2450,0.3,0.7994542249782326,0.2687502867081104,0.7557603686635944,0.7695852534562212,0.7419354838709677,0.5117163808104356
2450,1.0,0.8438382637133939,0.24124351652903037,0.7949308755760369,0.6912442396313364,0.8986175115207373,0.6029691608886644
2450,3.0,0.8903247042833783,0.38118233993598355,0.8410138248847926,0.8018433179723502,0.880184331797235,0.6841302420111159
2450,10.0,0.9776911805304849,0.5187572318340619,0.9400921658986175,0.9354838709677419,0.9447004608294931,0.8802217180407976
